指标:

Test accuracy for ΔTSV-1（温度）:
Bagging-nest20-r7899496:  {'MSE': '0.0033', 'RMSE': '0.0576', 'MAE': '0.0305', 'R2': '0.9950', 'train_r2': '0.9982'}
Bagging-nest20-r2003335:  {'MSE': '0.0025', 'RMSE': '0.0504', 'MAE': '0.0227', 'R2': '0.9961', 'train_r2': '0.9988'}
Bagging-nest20-r8565344:  {'MSE': '0.0011', 'RMSE': '0.0325', 'MAE': '0.0164', 'R2': '0.9984', 'train_r2': '0.9992'}
Bagging-nest20-r9979466:  {'MSE': '0.0015', 'RMSE': '0.0390', 'MAE': '0.0180', 'R2': '0.9977', 'train_r2': '0.9993'}
Bagging-nest20-r1729346:  {'MSE': '0.0055', 'RMSE': '0.0740', 'MAE': '0.0422', 'R2': '0.9917', 'train_r2': '0.9986'}
Bagging-nest20-r924863:  {'MSE': '0.0010', 'RMSE': '0.0319', 'MAE': '0.0172', 'R2': '0.9985', 'train_r2': '0.9997'}
Bagging-nest50-r2614983:  {'MSE': '0.0010', 'RMSE': '0.0310', 'MAE': '0.0181', 'R2': '0.9985', 'train_r2': '0.9995'}
Bagging-nest50-r9482140:  {'MSE': '0.0016', 'RMSE': '0.0397', 'MAE': '0.0231', 'R2': '0.9976', 'train_r2': '0.9994'}
Bagging-nest50-r3251672:  {'MSE': '0.0021', 'RMSE': '0.0459', 'MAE': '0.0278', 'R2': '0.9968', 'train_r2': '0.9993'}
Bagging-nest50-r3776212:  {'MSE': '0.0019', 'RMSE': '0.0441', 'MAE': '0.0247', 'R2': '0.9970', 'train_r2': '0.9992'}
Bagging-nest50-r671767:  {'MSE': '0.0025', 'RMSE': '0.0498', 'MAE': '0.0278', 'R2': '0.9962', 'train_r2': '0.9994'}
Bagging-nest50-r4645319:  {'MSE': '0.0036', 'RMSE': '0.0600', 'MAE': '0.0313', 'R2': '0.9945', 'train_r2': '0.9994'}
Bagging-nest50-r9022159:  {'MSE': '0.0024', 'RMSE': '0.0488', 'MAE': '0.0284', 'R2': '0.9964', 'train_r2': '0.9994'}
Bagging-nest50-r8220459:  {'MSE': '0.0036', 'RMSE': '0.0596', 'MAE': '0.0325', 'R2': '0.9946', 'train_r2': '0.9992'}
Bagging-nest50-r8613864:  {'MSE': '0.0016', 'RMSE': '0.0405', 'MAE': '0.0269', 'R2': '0.9975', 'train_r2': '0.9992'}
Bagging-nest50-r8248656:  {'MSE': '0.0008', 'RMSE': '0.0274', 'MAE': '0.0200', 'R2': '0.9989', 'train_r2': '0.9995'}
Bagging-nest50-r5456742:  {'MSE': '0.0009', 'RMSE': '0.0292', 'MAE': '0.0206', 'R2': '0.9987', 'train_r2': '0.9996'}
Bagging-nest50-r3092303:  {'MSE': '0.0015', 'RMSE': '0.0383', 'MAE': '0.0216', 'R2': '0.9978', 'train_r2': '0.9995'}
Bagging-nest50-r7633569:  {'MSE': '0.0017', 'RMSE': '0.0410', 'MAE': '0.0241', 'R2': '0.9974', 'train_r2': '0.9996'}
Bagging-nest50-r7748679:  {'MSE': '0.0026', 'RMSE': '0.0514', 'MAE': '0.0291', 'R2': '0.9960', 'train_r2': '0.9993'}
Bagging-nest50-r2604333:  {'MSE': '0.0025', 'RMSE': '0.0503', 'MAE': '0.0322', 'R2': '0.9962', 'train_r2': '0.9992'}
Bagging-nest50-r4546407:  {'MSE': '0.0021', 'RMSE': '0.0456', 'MAE': '0.0253', 'R2': '0.9968', 'train_r2': '0.9993'}
Bagging-nest50-r1590827:  {'MSE': '0.0015', 'RMSE': '0.0391', 'MAE': '0.0250', 'R2': '0.9977', 'train_r2': '0.9994'}
Bagging-nest50-r9626474:  {'MSE': '0.0018', 'RMSE': '0.0421', 'MAE': '0.0253', 'R2': '0.9973', 'train_r2': '0.9995'}
Bagging-nest50-r7934717:  {'MSE': '0.0013', 'RMSE': '0.0364', 'MAE': '0.0231', 'R2': '0.9980', 'train_r2': '0.9994'}
Bagging-nest50-r166943:  {'MSE': '0.0017', 'RMSE': '0.0417', 'MAE': '0.0288', 'R2': '0.9974', 'train_r2': '0.9995'}
Bagging-nest100-r865693:  {'MSE': '0.0017', 'RMSE': '0.0418', 'MAE': '0.0247', 'R2': '0.9973', 'train_r2': '0.9997'}
Bagging-nest100-r2704358:  {'MSE': '0.0024', 'RMSE': '0.0493', 'MAE': '0.0305', 'R2': '0.9963', 'train_r2': '0.9995'}
Bagging-nest100-r9855640:  {'MSE': '0.0020', 'RMSE': '0.0451', 'MAE': '0.0292', 'R2': '0.9969', 'train_r2': '0.9995'}
Bagging-nest100-r7416729:  {'MSE': '0.0014', 'RMSE': '0.0377', 'MAE': '0.0255', 'R2': '0.9978', 'train_r2': '0.9996'}
Bagging-nest100-r7683737:  {'MSE': '0.0012', 'RMSE': '0.0349', 'MAE': '0.0212', 'R2': '0.9982', 'train_r2': '0.9995'}
Bagging-nest100-r1163480:  {'MSE': '0.0026', 'RMSE': '0.0507', 'MAE': '0.0309', 'R2': '0.9961', 'train_r2': '0.9993'}
Bagging-nest100-r2533939:  {'MSE': '0.0031', 'RMSE': '0.0553', 'MAE': '0.0286', 'R2': '0.9954', 'train_r2': '0.9994'}
Bagging-nest100-r6335712:  {'MSE': '0.0015', 'RMSE': '0.0386', 'MAE': '0.0256', 'R2': '0.9977', 'train_r2': '0.9996'}
Bagging-nest100-r9147769:  {'MSE': '0.0027', 'RMSE': '0.0521', 'MAE': '0.0319', 'R2': '0.9959', 'train_r2': '0.9993'}
Bagging-nest100-r5407321:  {'MSE': '0.0010', 'RMSE': '0.0315', 'MAE': '0.0223', 'R2': '0.9985', 'train_r2': '0.9996'}
Bagging-nest100-r9665651:  {'MSE': '0.0028', 'RMSE': '0.0527', 'MAE': '0.0312', 'R2': '0.9958', 'train_r2': '0.9995'}
Bagging-nest100-r6958611:  {'MSE': '0.0024', 'RMSE': '0.0493', 'MAE': '0.0291', 'R2': '0.9963', 'train_r2': '0.9995'}
Bagging-nest100-r7306112:  {'MSE': '0.0009', 'RMSE': '0.0294', 'MAE': '0.0203', 'R2': '0.9987', 'train_r2': '0.9997'}
Bagging-nest100-r6792630:  {'MSE': '0.0006', 'RMSE': '0.0235', 'MAE': '0.0155', 'R2': '0.9992', 'train_r2': '0.9997'}
Bagging-nest100-r4541790:  {'MSE': '0.0010', 'RMSE': '0.0318', 'MAE': '0.0214', 'R2': '0.9985', 'train_r2': '0.9996'}
Bagging-nest100-r8873569:  {'MSE': '0.0025', 'RMSE': '0.0504', 'MAE': '0.0314', 'R2': '0.9961', 'train_r2': '0.9994'}
Bagging-nest100-r6607317:  {'MSE': '0.0021', 'RMSE': '0.0456', 'MAE': '0.0283', 'R2': '0.9968', 'train_r2': '0.9995'}
